BASK,BBID,BTC_Before,BTC_imbalance,BuyVol,BuyVolBTC,DateTime,Imbalance,SellVol,SellVolBTC,VWAP_before,mid_px,mid_px_0.925,mid_px_0.95,mid_px_0.97,mid_px_0.99,mid_px_0.9925,mid_px_0.995,mid_px_0.996,mid_px_0.997,mid_px_0.998,mid_px_0.999,mid_px_1.001,mid_px_1.002,mid_px_1.003,mid_px_1.004,mid_px_1.005,mid_px_1.0075,mid_px_1.01,mid_px_1.03,mid_px_1.05,mid_px_1.075,mid_px_amt_0.925,mid_px_amt_0.95,mid_px_amt_0.97,mid_px_amt_0.99,mid_px_amt_0.9925,mid_px_amt_0.995,mid_px_amt_0.996,mid_px_amt_0.997,mid_px_amt_0.998,mid_px_amt_0.999,mid_px_amt_1.001,mid_px_amt_1.002,mid_px_amt_1.003,mid_px_amt_1.004,mid_px_amt_1.005,mid_px_amt_1.0075,mid_px_amt_1.01,mid_px_amt_1.03,mid_px_amt_1.05,mid_px_amt_1.075,target,BTC_VolImbal,VolImbal,day_of_week,hour_of_day
325.65,325.55,12126.883206022852,0.8763776695934009,1289.75406,23.214235000000013,0.9058777620138889,0.9684248878754995,610.4662700000002,32.89230899999998,325.5316146649206,325.6,,,,322.9305,323.58050000000003,324.07714285714286,324.4717647058823,324.8146153846154,325.1091666666667,325.4318181818182,325.77818181818185,326.0725,326.39799999999997,326.74125,327.06454545454545,327.386875,,,,,0,0.0,0.0,167.95657000000006,163.65357000000003,1.24908,214.59603000000007,69.55252,98.08586,635.14813,84.16941999999999,174.74848,75.13165000000001,201.08833999999996,84.37375,31.198729999999998,0.0,0.0,0.0,0,1,-9.67807399999997,679.2877899999997,25,23
327.85,327.77,12103.492650259388,-0.4874474240312735,512.79981,35.805808000000006,0.9047412566666667,0.4007121497720751,736.1972300000003,25.983877000000014,327.8041941345879,327.81,,,,325.23999999999995,325.8091428571429,326.3218181818181,326.67785714285714,326.9884615384616,327.2466666666667,327.62166666666667,328.0009090909091,328.3494444444444,328.6315384615384,328.955,329.2562500000001,329.6075,,,,,0,0.0,0.0,36.028729999999996,220.44736999999995,57.514089999999996,84.62625,81.11228,15.07778,180.45355999999998,74.67996,45.822080000000014,7.905150000000001,299.7297999999999,58.446389999999994,205.09666000000004,0.0,0.0,0.0,0,1,9.821930999999992,-223.39742000000035,25,23
329.27,329.14,12101.739634926125,-0.8294813715507249,886.5534200000006,31.535243000000026,0.9039899967245371,-0.11284907451400596,593.0337000000004,49.25144600000002,329.28313712958,329.205,,,,326.5444444444445,327.12531250000006,327.75416666666666,328.0376923076923,328.40214285714285,328.682,328.99899999999997,329.4108333333333,329.66944444444437,330.0205555555556,330.3709523809524,330.68736842105267,330.9816666666667,,,,,0,0.0,0.0,32.883289999999995,82.63682,177.42440999999997,67.29747,580.35191,83.08640999999999,42.04758,190.15395000000004,40.2134,2166.1301600000006,76.63117,47.94469,50.72512,0.0,0.0,0.0,0,-1,-17.716202999999997,293.51972000000023,25,23
327.73,327.66,12095.755338643294,-0.21214931827507907,521.4238600000002,29.899473999999994,0.9036168663078703,0.36709919128487456,1357.6145500000002,30.042530999999993,327.72277466211256,327.69500000000005,,,,325.20500000000004,325.6688461538461,326.23923076923074,326.53833333333324,326.880625,327.202,327.513125,327.841,328.1885714285714,328.515,328.8811111111111,329.17400000000004,329.7330952380952,330.27923076923076,,,,0,0.0,0.0,0.42922,120.48353,43.67883,82.89546999999999,34.491290000000006,46.82417,125.86673,104.47762,42.75402,19.19121,57.423300000000005,205.58031000000003,2379.6233800000005,31.62271,0.0,0.0,0,0,-0.14305699999999888,-836.19069,25,23
327.99,327.83,12058.085277527249,-0.9433710099629514,460.5048700000005,28.002671000000007,0.9028699522800926,-0.6520189697440371,467.74334,17.492440999999996,327.95707928699625,327.90999999999997,,,,,325.9559090909091,326.43,326.78882352941173,327.09476190476187,327.40000000000003,327.69999999999993,328.06899999999996,328.42571428571426,328.7416666666666,329.08636363636356,329.40222222222224,329.93025,330.43375000000003,,,,0,0.0,0.0,0.0,189.48698000000005,13.671060000000002,136.00977999999995,57.676800000000014,230.28184000000002,130.72673999999998,232.74495000000002,16.1147,17.584400000000002,189.66770999999997,212.19591000000003,2200.1247900000003,8.168190000000001,0.0,0.0,0,-1,10.51023000000001,-7.238469999999495,25,23
327.56,327.49,12085.256783445673,-0.7654082460776375,428.13367000000005,24.422827000000005,0.9021233517245371,-0.10515539266748805,635.2628599999999,22.518338,327.50087146167283,327.525,,,,324.98333333333335,325.46750000000003,326.06529411764706,326.37250000000006,326.7233333333333,327.0566666666666,327.38555555555564,327.6766666666666,328.00857142857143,328.3709090909091,328.70250000000004,329.02166666666665,329.59000000000003,,,,,0,0.0,0.0,37.29979,138.35553,184.97126999999998,65.52902999999999,15.372150000000001,88.98009,103.44236,152.34397,204.40105,27.06482,73.23417,199.9888,254.29653999999996,0.0,0.0,0.0,0,1,1.9044890000000052,-207.12918999999988,25,23
328.72,328.66,12099.985048987297,-0.7837246188921302,542.74813,22.592617000000004,0.9017501744212963,0.3025537157293797,533.2810700000001,20.674097999999976,328.67871563554235,328.69000000000005,,,,326.0105882352941,326.630303030303,327.2192307692307,327.49916666666667,327.89000000000004,328.14375,328.5444444444444,328.8845454545454,329.2114285714286,329.54,329.83238095238096,330.17125,330.4847368421053,,,,,0,0.0,0.0,130.39536000000004,192.69126,128.27128,67.55546999999999,14.305180000000002,65.11139,79.01632,74.78642,136.57168000000001,193.16585999999995,2222.27813,68.37723999999999,26.196800000000003,0.0,0.0,0.0,0,1,1.9185190000000283,9.467059999999833,25,23
329.37,329.25,12105.803580030904,0.030241794281888494,584.5174600000001,34.76872199999999,0.9013730759143519,0.18021874027965928,538.1343100000005,16.98404299999999,329.2356030208457,329.31,,,,326.42636363636365,327.29129032258066,327.8192307692307,328.12800000000004,328.54,328.76250000000005,329.13500000000005,329.5077777777778,329.7884210526316,330.10470588235285,330.4447826086957,330.78647058823526,331.00666666666666,,,,,0,0.0,0.0,44.688109999999995,319.84369,56.309439999999995,46.890829999999994,30.204580000000004,63.60928,183.57062,204.79389999999998,23.67335,2161.8160200000007,74.48909,29.446009999999998,85.51451,0.0,0.0,0.0,0,1,17.784679,46.38314999999966,25,23
330.35,330.19,12116.115426692513,-0.7502640641633656,2836.354800000001,23.075381000000004,0.9010000943518519,-0.3092440818735047,545.47102,24.75923399999999,330.3006101380679,330.27,,,326.94,327.3807407407407,328.23086956521735,328.7857142857143,329.1515384615385,329.4580000000001,329.8177777777777,330.075,330.49437500000005,330.78066666666666,331.11894736842106,331.4228571428571,331.76250000000005,332.09076923076924,,,,,0,0.0,0.19424,99.38902000000003,121.02020999999998,110.95670000000001,114.89330000000001,26.74513,49.57596,60.92212,54.30612000000001,64.95689,81.83760000000001,98.39234000000002,116.35742,484.09772999999996,0.0,0.0,0.0,0,1,-1.683852999999985,2290.883780000001,25,23
331.51,331.27,12111.839969949642,-0.5562328668961527,483.36112000000014,20.615018000000003,0.9006234040162037,-0.3538756974194763,321.01618999999994,40.59769899999998,331.32840123804846,331.39,,,327.9314285714286,328.49444444444447,329.33160000000004,329.90916666666664,330.27099999999996,330.5487499999999,330.9466666666666,331.1745454545455,331.62071428571426,331.910625,332.2371428571429,332.54571428571427,332.8931578947369,333.4106249999999,,,,,0,0.0,6.689159999999999,101.59105,193.24495000000002,74.64312,52.145739999999996,84.63292,31.67362,62.38827,113.35286,94.28378000000002,473.90205999999995,78.62684,707.7710099999999,81.47236,0.0,0.0,0.0,0,-1,-19.982680999999975,162.3449300000002,25,23
